dateTime,analogValue
2015-12-20 17:32:28.852696,104
2015-12-20 17:32:28.863878,105
2015-12-20 17:32:28.874011,106
2015-12-20 17:32:28.885726,108
2015-12-20 17:32:28.896365,104
2015-12-20 17:32:28.911466,104
2015-12-20 17:32:28.923130,105
2015-12-20 17:32:28.935851,105
2015-12-20 17:32:28.946567,106
2015-12-20 17:32:28.958844,106
2015-12-20 17:32:28.971498,104
2015-12-20 17:32:28.984261,105
2015-12-20 17:32:28.995012,106
2015-12-20 17:32:29.005981,106
2015-12-20 17:32:29.018032,105
2015-12-20 17:32:29.028397,105
2015-12-20 17:32:29.039194,108
2015-12-20 17:32:29.052688,107
2015-12-20 17:32:29.063105,106
2015-12-20 17:32:29.073456,105
2015-12-20 17:32:29.084336,105
2015-12-20 17:32:29.102457,104
2015-12-20 17:32:29.116153,105
2015-12-20 17:32:29.126484,107
2015-12-20 17:32:29.137675,107
2015-12-20 17:32:29.151830,106
2015-12-20 17:32:29.162012,105
2015-12-20 17:32:29.173745,104
2015-12-20 17:32:29.184323,106
2015-12-20 17:32:29.200449,106
2015-12-20 17:32:29.211796,106
2015-12-20 17:32:29.224467,104
2015-12-20 17:32:29.234885,106
2015-12-20 17:32:29.251301,107
2015-12-20 17:32:29.261510,105
2015-12-20 17:32:29.271746,102
2015-12-20 17:32:29.282640,106
2015-12-20 17:32:29.299880,107
2015-12-20 17:32:29.311041,105
2015-12-20 17:32:29.323757,103
2015-12-20 17:32:29.334231,106
2015-12-20 17:32:29.349694,108
2015-12-20 17:32:29.359895,105
2015-12-20 17:32:29.370204,104
2015-12-20 17:32:29.380489,106
2015-12-20 17:32:29.398842,106
2015-12-20 17:32:29.409204,105
2015-12-20 17:32:29.421916,104
2015-12-20 17:32:29.432382,106
2015-12-20 17:32:29.447997,106
2015-12-20 17:32:29.458125,106
2015-12-20 17:32:29.468477,107
2015-12-20 17:32:29.479024,105
2015-12-20 17:32:29.497512,104
2015-12-20 17:32:29.509487,105
2015-12-20 17:32:29.522300,107
2015-12-20 17:32:29.533257,107
2015-12-20 17:32:29.547732,106
2015-12-20 17:32:29.558054,104
2015-12-20 17:32:29.570792,104
2015-12-20 17:32:29.581337,106
2015-12-20 17:32:29.596965,106
2015-12-20 17:32:29.608676,106
2015-12-20 17:32:29.619391,105
2015-12-20 17:32:29.629848,104
2015-12-20 17:32:29.644594,106
2015-12-20 17:32:29.654827,107
2015-12-20 17:32:29.665056,105
2015-12-20 17:32:29.675963,104
2015-12-20 17:32:29.694649,105
2015-12-20 17:32:29.705336,107
2015-12-20 17:32:29.715582,105
2015-12-20 17:32:29.726318,103
2015-12-20 17:32:29.744206,106
2015-12-20 17:32:29.755234,107
2015-12-20 17:32:29.765464,106
2015-12-20 17:32:29.776030,104
2015-12-20 17:32:29.792056,106
2015-12-20 17:32:29.802913,107
2015-12-20 17:32:29.813292,106
2015-12-20 17:32:29.823919,104
2015-12-20 17:32:29.841184,107
2015-12-20 17:32:29.852916,105
2015-12-20 17:32:29.863339,104
2015-12-20 17:32:29.873983,107
2015-12-20 17:32:29.889271,104
2015-12-20 17:32:29.901977,104
2015-12-20 17:32:29.912514,108
2015-12-20 17:32:29.922809,106
2015-12-20 17:32:29.935471,106
2015-12-20 17:32:29.947801,107
2015-12-20 17:32:29.958161,103
2015-12-20 17:32:29.968456,108
2015-12-20 17:32:29.979315,104
2015-12-20 17:32:29.989539,105
2015-12-20 17:32:30.001051,105
2015-12-20 17:32:30.011364,103
2015-12-20 17:32:30.021888,108
2015-12-20 17:32:30.033681,106
2015-12-20 17:32:30.046098,105
2015-12-20 17:32:30.056434,107
2015-12-20 17:32:30.066689,105
2015-12-20 17:32:30.077806,104
2015-12-20 17:32:30.090552,107
2015-12-20 17:32:30.102946,104
2015-12-20 17:32:30.113422,102
2015-12-20 17:32:30.123710,106
2015-12-20 17:32:30.136827,107
2015-12-20 17:32:30.148494,107
2015-12-20 17:32:30.161337,105
2015-12-20 17:32:30.171675,105
2015-12-20 17:32:30.185578,105
2015-12-20 17:32:30.195743,105
2015-12-20 17:32:30.205891,106
2015-12-20 17:32:30.216965,105
2015-12-20 17:32:30.234200,104
2015-12-20 17:32:30.244335,107
2015-12-20 17:32:30.255024,105
2015-12-20 17:32:30.266482,106
2015-12-20 17:32:30.283554,108
2015-12-20 17:32:30.293709,106
2015-12-20 17:32:30.304126,105
2015-12-20 17:32:30.315000,106
2015-12-20 17:32:30.332701,107
2015-12-20 17:32:30.342834,105
2015-12-20 17:32:30.353150,106
2015-12-20 17:32:30.363448,107
2015-12-20 17:32:30.381856,105
2015-12-20 17:32:30.391983,103
2015-12-20 17:32:30.402318,105
2015-12-20 17:32:30.412924,106
2015-12-20 17:32:30.431008,106
2015-12-20 17:32:30.441196,106
2015-12-20 17:32:30.451476,106
2015-12-20 17:32:30.461831,107
2015-12-20 17:32:30.476065,105
2015-12-20 17:32:30.486946,105
2015-12-20 17:32:30.497213,105
2015-12-20 17:32:30.509074,104
2015-12-20 17:32:30.520015,105
2015-12-20 17:32:30.531270,106
2015-12-20 17:32:30.542477,105
2015-12-20 17:32:30.553972,105
2015-12-20 17:32:30.564548,106
2015-12-20 17:32:30.579838,107
2015-12-20 17:32:30.590238,106
2015-12-20 17:32:30.602787,104
2015-12-20 17:32:30.613157,105
2015-12-20 17:32:30.629393,106
2015-12-20 17:32:30.639644,105
2015-12-20 17:32:30.652467,105
2015-12-20 17:32:30.663427,106
2015-12-20 17:32:30.678212,106
2015-12-20 17:32:30.688476,107
2015-12-20 17:32:30.701234,106
2015-12-20 17:32:30.711499,105
2015-12-20 17:32:30.727705,106
2015-12-20 17:32:30.738191,106
2015-12-20 17:32:30.748413,105
2015-12-20 17:32:30.759213,106
2015-12-20 17:32:30.774437,105
2015-12-20 17:32:30.786326,106
2015-12-20 17:32:30.796652,107
2015-12-20 17:32:30.806911,107
2015-12-20 17:32:30.818756,106
2015-12-20 17:32:30.831457,106
2015-12-20 17:32:30.841749,106
2015-12-20 17:32:30.852919,106
2015-12-20 17:32:30.863309,105
2015-12-20 17:32:30.875231,105
2015-12-20 17:32:30.885784,105
2015-12-20 17:32:30.896084,106
2015-12-20 17:32:30.906373,106
2015-12-20 17:32:30.918458,105
2015-12-20 17:32:30.930843,106
2015-12-20 17:32:30.941283,106
2015-12-20 17:32:30.952747,106
2015-12-20 17:32:30.963052,103
2015-12-20 17:32:30.975233,105
2015-12-20 17:32:30.986378,105
2015-12-20 17:32:30.996799,106
2015-12-20 17:32:31.007468,106
2015-12-20 17:32:31.019608,105
2015-12-20 17:32:31.032309,106
2015-12-20 17:32:31.042682,106
2015-12-20 17:32:31.053117,106
2015-12-20 17:32:31.069594,105
2015-12-20 17:32:31.082325,105
2015-12-20 17:32:31.092544,106
2015-12-20 17:32:31.102974,106
2015-12-20 17:32:31.119109,106
2015-12-20 17:32:31.131588,105
